File_Name,Date,Max_Size_1,Max_Size_2,Area
c35.csv,2018215,12,5,205.79424
a55.csv,2008041,15,4,205.79424000000003
c17.csv,2002062,11,5,188.64472
b36.csv,2015240,11,4,150.915776
a19.csv,1983107,17,12,699.700416
a46.csv,2003005,11,4,150.915776
c08.csv,1996035,28,12,1152.447744
b27.csv,2008146,22,13,980.952544
d25.csv,2016036,13,8,356.71001600000005
a64.csv,2014101,16,11,603.663104
c26.csv,2010325,11,1,37.728944
b45.csv,2018215,8,6,164.635392
d07.csv,1983037,15,5,257.2428
a28.csv,1989267,22,10,754.57888
b09.csv,1987284,86,22,6489.378368000001
a02.csv,1978316,30,10,1028.9712
a20.csv,1986026,52,52,9274.460416
b01.csv,1979294,20,13,891.77504
a11.csv,1980125,25,10,857.4760000000001
b10.csv,1992012,64,33,7243.957248000001
a35.csv,1996343,19,16,1042.690816
b16.csv,2000072,22,8,603.663104
a71.csv,2021008,8,3,82.317696
c33.csv,2016225,11,4,150.915776
d14.csv,2013175,13,8,356.71001600000005
a53.csv,2005009,35,16,1920.7462400000004
c15.csv,2011310,16,7,384.14924800000006
b34.csv,2015072,15,5,257.2428
d32.csv,2022288,10,9,308.69136
a17.csv,1983107,25,23,1972.1948000000004
a44.csv,2001035,13,4,178.35500800000003
c06.csv,1987165,25,15,1286.2140000000002
b25.csv,2003040,11,7,264.10260800000003
d23.csv,2016001,8,6,164.635392
a08.csv,1979357,25,10,857.4760000000001
a62.csv,2012036,14,5,240.09328
c24.csv,2005072,20,3,205.79424
b43.csv,2017097,10,5,171.49519999999998
d05.csv,1979350,25,10,857.4760000000001
b07.csv,1987102,20,20,1371.9615999999999
a26.csv,1987277,16,8,439.02771200000007
a79.csv,2022070.0,9.5,3.0,97.75226400000001
a39.csv,1998298,15,10,514.4856
a75.csv,2021085,8,3,82.317696
b38.csv,2016001,6,4,82.317696
a57.csv,2008146,19,5,325.84088
c19.csv,2002132,88,17,5131.136384
b29.csv,2010024,13,5,222.94376
a48.csv,2003026,10,9,308.69136
d27.csv,2018059,8,5,137.19616
d09.csv,1995064,42,12,1728.671616
b47.csv,2019263,19,5,325.84088
a66.csv,2016001,7,4,96.03731200000001
c28.csv,2010045,43,20,2949.7174400000004
b21.csv,2001315,21,10,720.27984
c02.csv,1979035,30,10,1028.9712
a40.csv,1999031,19,6,391.00905600000004
a04.csv,1979294,30,10,1028.9712
d01.csv,1976032,24,17,1399.400832
c20.csv,2003068,18,10,617.38272
a22.csv,1986271,45,43,6636.864240000001
b03.csv,1983030,18,17,1049.550624
b30.csv,2012288,32,17,1865.8677760000003
c11.csv,1997061,21,4,288.111936
a13.csv,1980223,30,10,1028.9712
d10.csv,1996063,17,9,524.775312
a31.csv,1991090,20,9,617.38272
b12.csv,1997054,13,3,133.766256
