File_Name,Date,Max_Size_1,Max_Size_2
c10.csv,1996350,29,17
c10.csv,1996350,29,17
a30.csv,1991076,15,9
a30.csv,1991076,15,9
b11.csv,1995057,15,5
b11.csv,1995057,15,5
b14.csv,2000002,29,10
b14.csv,2000002,29,10
a33.csv,1994163,30,15
a33.csv,1994163,30,15
b50.csv,2020104,15,6
b50.csv,2020104,15,6
d12.csv,1997002,28,22
d12.csv,1997002,28,22
c31.csv,2016001,9,3
c31.csv,2016001,9,3
b32.csv,2014269,11,1
b32.csv,2014269,11,1
c13.csv,1997068,5,2
c13.csv,1997068,5,2
a51.csv,2002300,14,2
a51.csv,2002300,14,2
a15.csv,1981081,30,12
a15.csv,1981081,30,12
b23.csv,2003005,11,2
b23.csv,2003005,11,2
c04.csv,1979357,30,10
c04.csv,1979357,30,10
a42.csv,1999136,20,5
a42.csv,1999136,20,5
a06.csv,1979308,25,10
a06.csv,1979308,25,10
d21.csv,2013305,21,8
d21.csv,2013305,21,8
b41.csv,2016253,8,4
b41.csv,2016253,8,4
d03.csv,1977338,20,15
d03.csv,1977338,20,15
c22.csv,2005051,6,3
c22.csv,2005051,6,3
a60.csv,2008188,11,2
a60.csv,2008188,11,2
b05.csv,1983170,20,20
b05.csv,1983170,20,20
a24.csv,1986271,52,49
a24.csv,1986271,52,49
a77.csv,2021232,27,4
a77.csv,2021232,27,4
c39.csv,2022119,15,8
c39.csv,2022119,15,8
a59.csv,2008188,13,4
a59.csv,2008188,13,4
b49.csv,2020045,10,5
b49.csv,2020045,10,5
a68.csv,2017244,82,25
a68.csv,2017244,82,25
a37.csv,1998123,10,7
a37.csv,1998123,10,7
b18.csv,2000093,15,4
b18.csv,2000093,15,4
a73.csv,2021022,9,5
a73.csv,2021022,9,5
c35.csv,2018215,12,5
c35.csv,2018215,12,5
a55.csv,2008041,15,4
a55.csv,2008041,15,4
c17.csv,2002062,11,5
c17.csv,2002062,11,5
b36.csv,2015240,11,4
b36.csv,2015240,11,4
a19.csv,1983107,17,12
a19.csv,1983107,17,12
a46.csv,2003005,11,4
a46.csv,2003005,11,4
c08.csv,1996035,28,12
c08.csv,1996035,28,12
b27.csv,2008146,22,13
b27.csv,2008146,22,13
d25.csv,2016036,13,8
d25.csv,2016036,13,8
a64.csv,2014101,16,11
a64.csv,2014101,16,11
c26.csv,2010325,11,1
c26.csv,2010325,11,1
b45.csv,2018215,8,6
b45.csv,2018215,8,6
d07.csv,1983037,15,5
d07.csv,1983037,15,5
a28.csv,1989267,22,10
a28.csv,1989267,22,10
b09.csv,1987284,86,22
b09.csv,1987284,86,22
a02.csv,1978316,30,10
